fecha,demanda_MW,Entalpia,Inercia_Termica,GSP
2021-04-15,28572.44,27.4142,12.271,28.2359
2021-04-16,28191.17,24.3978,11.2871,43.9624
2021-04-17,25281.72,22.8629,10.4625,51.026
2021-04-18,23376.44,25.5094,10.29,44.1811
2021-04-19,27709.42,29.3316,11.9006,27.5379
2021-04-20,28223.33,31.7716,13.2295,24.6497
2021-04-21,28229.28,31.8868,13.2277,23.1681
2021-04-22,28342.99,33.0708,13.118,21.0936
2021-04-23,27167.78,33.0828,13.6507,22.0251
2021-04-24,24596.78,34.2019,14.0679,17.4482
2021-04-25,23290.99,35.2134,14.357,13.1388
2021-04-26,27399.17,34.6973,14.4462,16.4468
2021-04-27,27954.75,34.6524,14.0061,19.0419
2021-04-28,27664.47,33.4933,13.9159,21.4595
2021-04-29,27638.57,31.4436,13.5103,24.4134
2021-04-30,27159.25,29.4515,12.9587,26.714
2021-05-01,22725.34,27.7898,12.367,37.0826
2021-05-02,21970.85,27.7703,12.0556,37.6187
2021-05-03,26310.08,30.8578,12.5685,26.4348
2021-05-04,27351.4,33.4062,13.5985,22.2606
2021-05-05,27408.85,35.0572,14.7663,17.9968
2021-05-06,27247.99,37.2161,15.551,11.4432
2021-05-07,26978.12,39.3042,16.5261,3.753
2021-05-08,24165.44,41.0452,17.6822,0.0
2021-05-09,22650.49,37.6279,17.9506,9.7894
2021-05-10,26513.91,31.8781,15.3923,24.7125
2021-05-11,27206.67,28.4833,13.5121,36.4918
2021-05-12,27287.54,31.9316,13.1418,24.0589
2021-05-13,27584.69,33.7905,14.2974,20.4153
2021-05-14,27209.01,34.0336,14.7007,21.1546
2021-05-15,24425.49,39.2722,15.5063,5.6423
2021-05-16,22828.92,41.0121,17.198,0.8188
2021-05-17,26489.35,36.4403,17.5823,11.6277
2021-05-18,27628.82,38.2144,16.4968,8.4463
2021-05-19,27796.23,36.8911,16.6995,10.6563
2021-05-20,27671.94,39.2922,16.826,2.2629
2021-05-21,27443.65,39.6492,17.6789,2.9033
2021-05-22,24483.07,34.4829,17.1485,15.4036
2021-05-23,22593.41,32.7051,15.2864,18.7992
2021-05-24,25842.2,33.858,14.5438,19.444
2021-05-25,27177.42,35.3137,15.3882,14.2861
2021-05-26,27525.68,37.605,16.2384,7.5957
2021-05-27,27618.15,40.2088,17.0032,2.2325
2021-05-28,27294.69,43.3421,17.7742,0.0
2021-05-29,24807.32,45.5456,18.7692,0.0
2021-05-30,22951.81,46.0951,19.745,0.0
2021-05-31,27158.51,47.86,20.1306,0.0
2021-06-01,27715.6,45.3899,20.1352,0.0
2021-06-02,27842.82,43.4966,18.8832,0.0
2021-06-03,27752.64,44.2633,18.7785,0.0
2021-06-04,27494.43,42.4547,18.6485,0.0
2021-06-05,24649.26,42.6649,18.1138,0.0
2021-06-06,22741.19,43.8458,18.3028,0.0
2021-06-07,27405.01,45.5306,19.5285,0.0
2021-06-08,28675.72,47.9564,20.7459,0.0
2021-06-09,29095.14,48.4033,21.6777,0.0
2021-06-10,29432.28,49.0472,21.9308,0.0
2021-06-11,29098.72,49.3548,22.104,0.0
2021-06-12,26350.04,50.246,21.7991,0.0
2021-06-13,24495.43,52.5519,22.0463,0.0
2021-06-14,29397.0,53.0734,23.0907,0.0
2021-06-15,30292.3,53.347,23.3039,0.0
2021-06-16,30011.76,52.3974,23.0566,0.0
2021-06-17,28978.35,47.9258,21.7868,0.0
2021-06-18,28440.72,46.5686,19.6816,0.0
2021-06-19,25553.56,44.739,19.5575,0.0
2021-06-20,23327.88,42.923,19.1662,0.0
2021-06-21,27500.0,42.4452,18.7226,0.0
2021-06-22,28148.23,42.0164,18.6482,0.0
2021-06-23,27674.03,41.1479,18.4773,0.0
2021-06-24,26433.14,43.77,18.6525,0.0
2021-06-25,27501.1,46.6645,19.9779,0.0
2021-06-26,25672.28,48.2958,21.2033,0.0
2021-06-27,23865.82,45.1433,21.4542,0.0
2021-06-28,27886.07,42.5226,20.4403,0.0
2021-06-29,28890.82,43.5461,19.9813,0.0
2021-06-30,29577.1,46.6645,20.4048,0.0
2021-07-01,29627.37,49.0067,21.3587,0.0
2021-07-02,29775.26,50.2361,22.2689,0.0
2021-07-03,27236.41,51.0517,22.9962,0.0
2021-07-04,25571.69,50.7045,22.8888,0.0
2021-07-05,30132.36,52.542,23.0337,0.0
2021-07-06,30430.09,47.9875,23.2747,0.0
2021-07-07,29437.67,44.4431,21.3657,0.0
